Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start Date,2
5,20,9,1,0,55.55,3,caught,3,,v England,Nottingham,06-08-2015,Test # 2175
5,9,10,1,0,50.00,4,bowled,2,,v Sri Lanka,Galle,04-08-2016,Test # 2213
5,19,18,1,0,27.77,4,caught,2,,v South Africa,Cape Town,22-03-2018,Test # 2300
4,17,10,1,0,40.00,4,bowled,2,,v Pakistan,Brisbane,21-11-2019,Test # 2368
2,26,14,0,0,14.28,6,caught,2,,v England,Lord's,18-07-2013,Test # 2091
2,35,19,0,0,10.52,5,bowled,4,,v England,Chester-le-Street,09-08-2013,Test # 2093
1*,5,1,0,0,100.00,4,not out,4,,v India,Adelaide,17-12-2020,Test # 2396
1,5,7,0,0,14.28,8,lbw,1,,v Pakistan,Lord's,13-07-2010,Test # 1963
1,19,14,0,0,7.14,6,caught,4,,v England,Lord's,18-07-2013,Test # 2091
1,8,2,0,0,50.00,4,caught,3,,v New Zealand,Brisbane,05-11-2015,Test # 2185
1,45,29,0,0,3.44,4,caught,2,,v India,Adelaide,17-12-2020,Test # 2396
0,13,7,0,0,0.00,5,caught,3,,v England,Brisbane,21-11-2013,Test # 2103
0,1,1,0,0,0.00,6,lbw,4,,v South Africa,Gqeberha,20-02-2014,Test # 2121
0,7,6,0,0,0.00,6,lbw,2,,v Pakistan,Abu Dhabi,30-10-2014,Test # 2142
0,4,4,0,0,0.00,4,lbw,2,,v South Africa,Perth,03-11-2016,Test # 2230
0,10,8,0,0,0.00,4,caught,1,,v India,Melbourne,26-12-2020,Test # 2398
0,5,2,0,0,0.00,4,caught,1,,v England,Hobart,14-01-2022,Test # 2449
0,4,4,0,0,0.00,4,lbw,3,,v Sri Lanka,Galle,08-07-2022,Test # 2471
0,11,8,0,0,0.00,4,caught,1,,v West Indies,Adelaide,08-12-2022,Test # 2479
DNB,-,-,-,-,-,-,-,4,,v England,Melbourne,26-12-2013,Test # 2110
DNB,-,-,-,-,-,-,-,3,,v South Africa,Centurion,12-02-2014,Test # 2119
DNB,-,-,-,-,-,-,-,2,,v West Indies,Sydney,03-01-2016,Test # 2198
DNB,-,-,-,-,-,-,-,4,,v England,Brisbane,23-11-2017,Test # 2282
sub,-,-,-,-,-,-,-,4,,v England,Lord's,14-08-2019,Test # 2355
DNB,-,-,-,-,-,-,-,3,,v New Zealand,Sydney,03-01-2020,Test # 2378
DNB,-,-,-,-,-,-,-,4,,v England,Brisbane,08-12-2021,Test # 2440
DNB,-,-,-,-,-,-,-,3,,v Pakistan,Karachi,12-03-2022,Test # 2455
DNB,-,-,-,-,-,-,-,4,,v Sri Lanka,Galle,29-06-2022,Test # 2469
